epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.21778,0.75393,3.38975,0.93122,0.24361,0.53304,0.41513,0.36864,0.50603,2.03046,0.84196,0.07723,0.00023,0.00023
2,16.1872,0.53847,1.27406,0.84929,0.89776,0.95337,0.95787,0.85968,0.46772,0.76455,0.81283,0.0534653,0.000465347,0.000465347
3,24.0344,0.49655,0.65034,0.82674,0.97151,0.98728,0.98343,0.89155,0.44131,0.48467,0.80598,0.0296959,0.000695942,0.000695942
4,31.9233,0.48758,0.52006,0.82273,0.97066,0.98944,0.98247,0.87852,0.47912,0.41716,0.81798,0.00592178,0.000921785,0.000921785
5,39.7543,0.49447,0.46906,0.82331,0.99015,0.98944,0.98291,0.88789,0.47305,0.35683,0.8144,0.0009604,0.0009604,0.0009604
6,47.551,0.48687,0.41977,0.81825,0.98842,0.98944,0.98214,0.88958,0.46751,0.34496,0.81444,0.0009505,0.0009505,0.0009505
7,55.3229,0.4703,0.40489,0.82021,0.98826,0.98944,0.98239,0.888,0.46662,0.30974,0.8138,0.0009406,0.0009406,0.0009406
8,63.1425,0.47478,0.3745,0.81986,0.99015,0.98944,0.98382,0.89891,0.44835,0.30105,0.80832,0.0009307,0.0009307,0.0009307
9,70.9086,0.46136,0.3734,0.81733,0.98979,0.98944,0.9851,0.8995,0.43179,0.28723,0.80636,0.0009208,0.0009208,0.0009208
10,78.7002,0.45698,0.35729,0.81579,0.99056,0.98944,0.98583,0.89406,0.44465,0.28445,0.80777,0.0009109,0.0009109,0.0009109
11,86.4733,0.46684,0.35231,0.81191,0.99122,0.98944,0.98601,0.90174,0.44134,0.27568,0.8063,0.000901,0.000901,0.000901
12,94.3388,0.45549,0.34317,0.81905,0.99055,0.98944,0.98527,0.90163,0.44653,0.27711,0.80726,0.0008911,0.0008911,0.0008911
13,102.114,0.45636,0.34238,0.81533,0.99119,0.98944,0.98576,0.90806,0.43666,0.27007,0.80622,0.0008812,0.0008812,0.0008812
14,109.92,0.45656,0.33274,0.81604,0.99079,0.98944,0.98623,0.90169,0.44657,0.27393,0.80786,0.0008713,0.0008713,0.0008713
15,117.705,0.44658,0.32383,0.81281,0.99121,0.98944,0.98596,0.90505,0.43517,0.27075,0.80616,0.0008614,0.0008614,0.0008614
16,125.481,0.44096,0.3126,0.81233,0.99087,0.98944,0.98562,0.91136,0.42322,0.26792,0.8042,0.0008515,0.0008515,0.0008515
17,133.337,0.44139,0.32934,0.81096,0.99077,0.98944,0.98448,0.90443,0.43332,0.27569,0.80559,0.0008416,0.0008416,0.0008416
18,141.146,0.439,0.30822,0.81326,0.99059,0.98944,0.9854,0.90985,0.42323,0.25855,0.80318,0.0008317,0.0008317,0.0008317
19,148.982,0.43437,0.30655,0.8123,0.99097,0.98944,0.98514,0.9075,0.41864,0.26784,0.80332,0.0008218,0.0008218,0.0008218
20,156.805,0.43397,0.31479,0.80899,0.9907,0.98944,0.98669,0.91026,0.41279,0.26338,0.80384,0.0008119,0.0008119,0.0008119
21,164.604,0.42549,0.31028,0.81005,0.99076,0.98944,0.98611,0.91088,0.41997,0.26716,0.80416,0.000802,0.000802,0.000802
22,172.461,0.43416,0.31033,0.81533,0.99088,0.98944,0.98689,0.91113,0.41975,0.25691,0.8035,0.0007921,0.0007921,0.0007921
23,180.299,0.43439,0.29658,0.80828,0.99121,0.98944,0.98684,0.9144,0.41443,0.25814,0.80381,0.0007822,0.0007822,0.0007822
24,188.203,0.42959,0.30074,0.80868,0.99083,0.98944,0.98678,0.91369,0.40828,0.26971,0.80352,0.0007723,0.0007723,0.0007723
25,196.373,0.43442,0.29953,0.81238,0.99089,0.98944,0.98762,0.91908,0.41961,0.25416,0.80482,0.0007624,0.0007624,0.0007624
26,204.315,0.4279,0.29044,0.81171,0.99088,0.98944,0.98783,0.91486,0.42169,0.26154,0.80364,0.0007525,0.0007525,0.0007525
27,212.121,0.42916,0.28856,0.81391,0.99118,0.98944,0.98798,0.91437,0.41753,0.25476,0.80343,0.0007426,0.0007426,0.0007426
28,219.979,0.42359,0.29611,0.81105,0.99045,0.98944,0.98816,0.91671,0.40659,0.2456,0.80094,0.0007327,0.0007327,0.0007327
29,227.674,0.42229,0.29062,0.80988,0.9913,0.98944,0.98836,0.91613,0.42161,0.2487,0.80308,0.0007228,0.0007228,0.0007228
30,235.415,0.42616,0.28882,0.81026,0.99137,0.98944,0.98783,0.91543,0.41228,0.24667,0.80201,0.0007129,0.0007129,0.0007129
31,243.193,0.42843,0.28846,0.8103,0.99101,0.98944,0.98834,0.91408,0.41569,0.2455,0.80052,0.000703,0.000703,0.000703
32,250.988,0.4248,0.28517,0.8065,0.9911,0.98944,0.98827,0.92016,0.41287,0.24242,0.80099,0.0006931,0.0006931,0.0006931
33,258.94,0.42242,0.27614,0.80728,0.99128,0.98944,0.98872,0.91471,0.41513,0.24261,0.80237,0.0006832,0.0006832,0.0006832
34,266.783,0.41768,0.28543,0.80945,0.99048,0.98944,0.98771,0.91945,0.40996,0.24714,0.8009,0.0006733,0.0006733,0.0006733
35,274.6,0.42267,0.27307,0.8078,0.99102,0.98944,0.98798,0.92297,0.40627,0.24167,0.80192,0.0006634,0.0006634,0.0006634
36,282.409,0.41261,0.27654,0.80628,0.99065,0.98944,0.98816,0.92148,0.40364,0.24799,0.801,0.0006535,0.0006535,0.0006535
37,290.2,0.41724,0.27318,0.8116,0.99071,0.98944,0.98948,0.92113,0.39955,0.24653,0.80016,0.0006436,0.0006436,0.0006436
38,298.04,0.41542,0.26657,0.80829,0.9906,0.98944,0.9851,0.92086,0.41285,0.24412,0.80348,0.0006337,0.0006337,0.0006337
39,305.844,0.415,0.2761,0.80475,0.9913,0.98944,0.98438,0.92224,0.40751,0.24779,0.80155,0.0006238,0.0006238,0.0006238
40,313.63,0.41257,0.27729,0.80332,0.99068,0.98944,0.98546,0.92097,0.40424,0.24326,0.80139,0.0006139,0.0006139,0.0006139
41,321.427,0.41703,0.26674,0.8073,0.99126,0.98944,0.98435,0.92151,0.40441,0.24041,0.80036,0.000604,0.000604,0.000604
42,329.203,0.40834,0.28165,0.80997,0.99131,0.98944,0.98569,0.91409,0.42161,0.24784,0.8037,0.0005941,0.0005941,0.0005941
43,337.05,0.4223,0.27781,0.80909,0.99072,0.98944,0.98667,0.92071,0.40569,0.24048,0.80073,0.0005842,0.0005842,0.0005842
44,344.842,0.41572,0.27255,0.80798,0.99053,0.98944,0.98755,0.92381,0.41432,0.24746,0.80353,0.0005743,0.0005743,0.0005743
45,352.652,0.41775,0.26753,0.80901,0.99106,0.98944,0.98813,0.92117,0.40914,0.23623,0.80229,0.0005644,0.0005644,0.0005644
46,360.43,0.41596,0.27783,0.80745,0.99003,0.98944,0.98846,0.9196,0.41142,0.23778,0.80133,0.0005545,0.0005545,0.0005545
47,368.214,0.40885,0.27897,0.80935,0.99075,0.98944,0.98839,0.91897,0.40779,0.23842,0.8019,0.0005446,0.0005446,0.0005446
48,376.06,0.40297,0.26166,0.80549,0.99082,0.98944,0.98876,0.91722,0.40893,0.23238,0.80201,0.0005347,0.0005347,0.0005347
49,383.841,0.40762,0.26442,0.80439,0.98938,0.98944,0.98823,0.9218,0.40837,0.23758,0.80069,0.0005248,0.0005248,0.0005248
50,391.631,0.40844,0.26639,0.80627,0.98971,0.98944,0.98666,0.91853,0.40865,0.238,0.8023,0.0005149,0.0005149,0.0005149
51,399.422,0.41015,0.26635,0.80686,0.99043,0.98944,0.98857,0.92257,0.40192,0.236,0.80078,0.000505,0.000505,0.000505
52,407.232,0.40764,0.2658,0.80742,0.99083,0.98944,0.98691,0.92099,0.40653,0.23863,0.80157,0.0004951,0.0004951,0.0004951
53,415.09,0.40256,0.26546,0.80273,0.99134,0.98944,0.98669,0.92144,0.40681,0.23619,0.80124,0.0004852,0.0004852,0.0004852
54,422.89,0.40544,0.26112,0.80657,0.99064,0.98944,0.98569,0.92128,0.40903,0.23855,0.80293,0.0004753,0.0004753,0.0004753
55,430.686,0.40338,0.25223,0.80267,0.99061,0.98944,0.987,0.92348,0.40727,0.23665,0.80222,0.0004654,0.0004654,0.0004654
