epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,20.6773,1.14009,0.95121,0.80999,1.20079,0.96186,0.97689,0.99271,0.67885,0.96186,0.97689,0.99271,0.80152,1.18213,0.81488,0.72353,1.22943,0.000774013,0.000774013,0.000774013
17,24.7858,1.03925,0.93314,0.75645,1.15383,0.95091,0.95485,0.98951,0.78715,0.95091,0.95485,0.98951,0.76928,0.87848,0.79004,0.68119,1.1447,0.000765014,0.000765014,0.000765014
18,28.9102,1.03541,0.94169,0.75004,1.14098,0.98523,0.99648,0.99389,0.7783,0.98523,0.99648,0.99389,0.77196,0.90588,0.77918,0.6469,1.12043,0.000756015,0.000756015,0.000756015
19,4.3916,1.04079,0.92971,0.74126,1.13768,0.97739,0.98944,0.99412,0.77951,0.97739,0.98944,0.99412,0.8024,0.87872,0.78705,0.65734,1.12223,0.000747016,0.000747016,0.000747016
20,8.4583,1.01151,0.92585,0.73456,1.12927,0.98395,0.99296,0.99472,0.77919,0.98395,0.99296,0.99472,0.79756,0.85691,0.76748,0.61853,1.08829,0.000738017,0.000738017,0.000738017
21,12.5191,0.99541,0.92014,0.7146,1.12618,0.99552,0.99648,0.99496,0.80508,0.99552,0.99648,0.99496,0.78624,0.80931,0.79837,0.61244,1.06926,0.000729018,0.000729018,0.000729018
22,16.5922,0.96963,0.94729,0.72248,1.10568,0.99325,0.98944,0.99465,0.82019,0.99325,0.98944,0.99465,0.80132,0.75239,0.75925,0.58567,1.0428,0.000720019,0.000720019,0.000720019
23,20.7066,0.91177,0.86637,0.65604,1.08402,0.99695,0.99648,0.995,0.80558,0.99695,0.99648,0.995,0.79078,0.81366,0.82786,0.58277,1.05672,0.00071102,0.00071102,0.00071102
24,24.8127,0.86364,0.86792,0.63156,1.06294,0.98947,0.99292,0.99482,0.79936,0.98947,0.99292,0.99482,0.77004,0.81971,0.72998,0.60102,1.03642,0.000702021,0.000702021,0.000702021
25,28.9167,0.87677,0.86334,0.64091,1.05519,0.98519,0.99648,0.99458,0.81828,0.98519,0.99648,0.99458,0.77355,0.74069,0.76884,0.57133,1.02293,0.000693022,0.000693022,0.000693022
26,125.52,0.89456,0.86179,0.64653,1.07481,0.99938,0.97535,0.99441,0.81692,0.99938,0.97535,0.99441,0.79017,0.73664,0.7451,0.57233,1.03339,0.000684022,0.000684022,0.000684022
27,4.35833,0.89775,0.89222,0.64843,1.05935,0.90632,0.95388,0.98235,0.77755,0.90632,0.95388,0.98235,0.77795,0.78784,0.76249,0.62812,1.04322,0.000675023,0.000675023,0.000675023
28,8.42349,0.88288,0.86511,0.64319,1.05793,0.98552,0.99648,0.9936,0.84801,0.98552,0.99648,0.9936,0.80056,0.69374,0.71518,0.53527,0.9907,0.000666024,0.000666024,0.000666024
29,12.502,0.87218,0.85743,0.62979,1.05986,0.99561,0.99648,0.995,0.81989,0.99561,0.99648,0.995,0.80269,0.70423,0.73821,0.52311,1.00374,0.000657025,0.000657025,0.000657025
30,16.5861,0.86222,0.88291,0.63159,1.04776,0.98815,0.99648,0.99475,0.84601,0.98815,0.99648,0.99475,0.82207,0.68408,0.73132,0.51348,0.99081,0.000648026,0.000648026,0.000648026
31,20.7087,0.81447,0.79765,0.5822,1.03201,0.99844,0.99648,0.995,0.85772,0.99844,0.99648,0.995,0.8138,0.6763,0.71453,0.51907,0.97405,0.000639027,0.000639027,0.000639027
32,24.8336,0.80193,0.80084,0.5679,1.01856,0.99912,0.99648,0.995,0.85599,0.99912,0.99648,0.995,0.82153,0.66358,0.70717,0.50826,0.97547,0.000630028,0.000630028,0.000630028
33,28.9807,0.82241,0.80936,0.57922,1.01368,0.99919,0.99648,0.995,0.85734,0.99919,0.99648,0.995,0.80134,0.66493,0.70175,0.48988,0.95959,0.000621029,0.000621029,0.000621029
34,4.44093,0.84087,0.82251,0.58032,1.02554,0.99551,0.99648,0.995,0.81273,0.99551,0.99648,0.995,0.8045,0.76523,0.74743,0.51509,1.00518,0.00061203,0.00061203,0.00061203
35,8.49401,0.83993,0.8354,0.58029,1.0203,0.99946,0.99648,0.995,0.82363,0.99946,0.99648,0.995,0.82296,0.75926,0.74491,0.52904,1.00349,0.000603031,0.000603031,0.000603031
36,12.5416,0.81965,0.82487,0.57225,1.02559,0.9995,0.99648,0.995,0.8637,0.9995,0.99648,0.995,0.81915,0.64473,0.73429,0.48437,0.97048,0.000594031,0.000594031,0.000594031
37,16.6148,0.80788,0.85674,0.58464,1.0157,0.99949,0.99648,0.995,0.85569,0.99949,0.99648,0.995,0.82465,0.68228,0.70886,0.50629,0.98461,0.000585032,0.000585032,0.000585032
38,20.7181,0.76729,0.77332,0.54619,1.00281,0.9988,0.99648,0.995,0.84257,0.9988,0.99648,0.995,0.83978,0.7092,0.70155,0.48178,0.96576,0.000576033,0.000576033,0.000576033
39,24.8353,0.73863,0.76724,0.5232,0.99088,0.99797,0.99648,0.995,0.87034,0.99797,0.99648,0.995,0.81646,0.62763,0.69771,0.46764,0.95142,0.000567034,0.000567034,0.000567034
40,4.54584,0.77061,0.79159,0.53625,0.99346,0.99936,0.99648,0.995,0.84527,0.99936,0.99648,0.995,0.79637,0.66929,0.6924,0.48078,0.95627,0.000558035,0.000558035,0.000558035
41,8.61481,0.75456,0.79208,0.53236,0.99202,0.9981,0.99648,0.995,0.86555,0.9981,0.99648,0.995,0.79516,0.64382,0.70457,0.46421,0.94912,0.000549036,0.000549036,0.000549036
42,12.6751,0.76824,0.77809,0.53349,1.00229,0.99954,0.99648,0.995,0.85426,0.99954,0.99648,0.995,0.79026,0.67721,0.69249,0.46539,0.96025,0.000540037,0.000540037,0.000540037
43,16.7406,0.79224,0.82696,0.55423,1.00144,0.99891,0.99648,0.995,0.81894,0.99891,0.99648,0.995,0.77991,0.7448,0.69785,0.47219,0.98136,0.000531038,0.000531038,0.000531038
44,20.8527,0.75494,0.7551,0.51518,0.98964,0.99907,0.99648,0.995,0.8651,0.99907,0.99648,0.995,0.82102,0.64839,0.68949,0.45717,0.94068,0.000522039,0.000522039,0.000522039
45,24.9562,0.72329,0.75102,0.49916,0.97778,0.99948,0.99648,0.995,0.87384,0.99948,0.99648,0.995,0.82744,0.61749,0.68575,0.43558,0.94305,0.00051304,0.00051304,0.00051304
46,29.0658,0.74383,0.78155,0.5138,0.97661,0.99936,0.99648,0.995,0.8514,0.99936,0.99648,0.995,0.81848,0.68007,0.69313,0.44176,0.94646,0.00050404,0.00050404,0.00050404
47,33.2107,0.77242,0.77473,0.52072,0.99741,0.99931,0.99648,0.995,0.86637,0.99931,0.99648,0.995,0.81359,0.65708,0.68461,0.44904,0.94634,0.000495041,0.000495041,0.000495041
48,37.3297,0.73935,0.77487,0.51193,0.97289,0.99952,0.99648,0.995,0.8622,0.99952,0.99648,0.995,0.79766,0.64714,0.67338,0.44274,0.93878,0.000486042,0.000486042,0.000486042
49,41.4036,0.72226,0.77878,0.50271,0.98189,0.99969,0.99648,0.995,0.87533,0.99969,0.99648,0.995,0.82049,0.58854,0.67857,0.42748,0.93724,0.000477043,0.000477043,0.000477043
50,45.4945,0.72777,0.78057,0.5042,0.98732,0.99962,0.99648,0.995,0.87121,0.99962,0.99648,0.995,0.81916,0.59935,0.69205,0.4251,0.91986,0.000468044,0.000468044,0.000468044
51,49.5552,0.72549,0.76712,0.49701,0.98102,0.99948,0.99648,0.995,0.87457,0.99948,0.99648,0.995,0.81084,0.5967,0.68521,0.42625,0.93289,0.000459045,0.000459045,0.000459045
52,53.6794,0.72245,0.8232,0.49805,0.97584,0.99964,0.99648,0.995,0.87673,0.99964,0.99648,0.995,0.8203,0.59198,0.66854,0.42403,0.93576,0.000450046,0.000450046,0.000450046
53,57.8168,0.70374,0.76847,0.49157,0.96791,0.99746,0.99648,0.995,0.87787,0.99746,0.99648,0.995,0.82841,0.59493,0.68383,0.42431,0.91814,0.000441047,0.000441047,0.000441047
54,61.8786,0.68112,0.74278,0.48331,0.9669,0.99956,0.99648,0.995,0.88872,0.99956,0.99648,0.995,0.82782,0.56562,0.67428,0.39948,0.91781,0.000432048,0.000432048,0.000432048
55,65.9722,0.70294,0.74772,0.48866,0.95814,0.99954,0.99648,0.995,0.87963,0.99954,0.99648,0.995,0.83485,0.59238,0.65842,0.41386,0.91427,0.000423049,0.000423049,0.000423049
56,70.0686,0.70892,0.78781,0.48377,0.9635,0.99942,0.99648,0.995,0.87647,0.99942,0.99648,0.995,0.81427,0.57266,0.6638,0.40112,0.91793,0.000414049,0.000414049,0.000414049
57,74.1374,0.69946,0.77059,0.48184,0.96149,0.99939,0.99648,0.995,0.88238,0.99939,0.99648,0.995,0.81647,0.57634,0.67445,0.40486,0.90371,0.00040505,0.00040505,0.00040505
58,78.2197,0.66821,0.76457,0.47193,0.96008,0.99939,0.99648,0.995,0.88279,0.99939,0.99648,0.995,0.81976,0.58103,0.6754,0.39607,0.90914,0.000396051,0.000396051,0.000396051
59,82.3402,0.68038,0.73082,0.4631,0.94631,0.99913,0.99648,0.995,0.87988,0.99913,0.99648,0.995,0.80657,0.58642,0.65744,0.40149,0.92707,0.000387052,0.000387052,0.000387052
60,86.4671,0.6808,0.77989,0.46912,0.95538,0.9995,0.99648,0.995,0.8867,0.9995,0.99648,0.995,0.82963,0.55525,0.66326,0.3893,0.91226,0.000378053,0.000378053,0.000378053
61,90.6107,0.66074,0.74234,0.46002,0.94597,0.99966,0.99648,0.995,0.87787,0.99966,0.99648,0.995,0.82102,0.56101,0.65195,0.38772,0.92042,0.000369054,0.000369054,0.000369054
62,94.7438,0.66884,0.75733,0.46783,0.95489,0.99956,0.99648,0.995,0.87265,0.99956,0.99648,0.995,0.82407,0.58231,0.68733,0.39465,0.90992,0.000360055,0.000360055,0.000360055
63,98.9121,0.65908,0.72523,0.4522,0.94035,0.99887,0.99648,0.995,0.88134,0.99887,0.99648,0.995,0.81842,0.55195,0.66685,0.38701,0.90505,0.000351056,0.000351056,0.000351056
64,103.122,0.66606,0.75892,0.45512,0.94879,0.9997,0.99648,0.995,0.88773,0.9997,0.99648,0.995,0.81865,0.53445,0.64834,0.38098,0.90533,0.000342057,0.000342057,0.000342057
65,108.282,0.64439,0.72202,0.4493,0.95045,0.99972,0.99648,0.995,0.891,0.99972,0.99648,0.995,0.82198,0.53393,0.64837,0.37229,0.90913,0.000333058,0.000333058,0.000333058
66,137.026,0.65778,0.73733,0.44356,0.93581,0.99974,0.99648,0.995,0.89066,0.99974,0.99648,0.995,0.83745,0.54802,0.64773,0.38862,0.90132,0.000324058,0.000324058,0.000324058
67,244.033,0.65548,0.73376,0.44306,0.94447,0.99976,0.99648,0.995,0.8903,0.99976,0.99648,0.995,0.81719,0.54664,0.64532,0.37648,0.90549,0.000315059,0.000315059,0.000315059
68,462.39,0.65836,0.74665,0.43989,0.9316,0.99976,0.99648,0.995,0.88314,0.99976,0.99648,0.995,0.84312,0.57,0.64994,0.38115,0.91253,0.00030606,0.00030606,0.00030606
69,466.495,0.64166,0.73888,0.44047,0.94373,0.99976,0.99648,0.995,0.88734,0.99976,0.99648,0.995,0.82151,0.56058,0.65394,0.37626,0.89629,0.000297061,0.000297061,0.000297061
70,470.615,0.64401,0.75085,0.44339,0.94069,0.99974,0.99648,0.995,0.88453,0.99974,0.99648,0.995,0.81519,0.55021,0.6616,0.37556,0.90364,0.000288062,0.000288062,0.000288062
71,474.691,0.62747,0.74002,0.43449,0.93257,0.99973,0.99648,0.995,0.89194,0.99973,0.99648,0.995,0.82887,0.55559,0.66095,0.37199,0.89925,0.000279063,0.000279063,0.000279063
72,478.822,0.63405,0.73687,0.43504,0.92603,0.99975,0.99648,0.995,0.89483,0.99975,0.99648,0.995,0.81564,0.54467,0.65838,0.37229,0.90676,0.000270064,0.000270064,0.000270064
73,482.938,0.61488,0.70953,0.42,0.93021,0.99977,0.99648,0.995,0.89601,0.99977,0.99648,0.995,0.82466,0.53086,0.65466,0.35973,0.88896,0.000261065,0.000261065,0.000261065
74,487.039,0.61774,0.7172,0.42418,0.92712,0.99971,0.99648,0.995,0.8937,0.99971,0.99648,0.995,0.82581,0.51443,0.64268,0.35456,0.8913,0.000252066,0.000252066,0.000252066
75,491.15,0.62692,0.72403,0.42757,0.93084,0.99976,0.99648,0.995,0.89521,0.99976,0.99648,0.995,0.82396,0.52732,0.64752,0.36435,0.89351,0.000243067,0.000243067,0.000243067
76,495.229,0.62606,0.71025,0.42791,0.93536,0.99977,0.99648,0.995,0.89259,0.99977,0.99648,0.995,0.83205,0.53917,0.64468,0.36734,0.8922,0.000234068,0.000234068,0.000234068
77,499.356,0.62058,0.7403,0.42063,0.92738,0.99976,0.99648,0.995,0.88652,0.99976,0.99648,0.995,0.8215,0.53944,0.65289,0.36928,0.89521,0.000225068,0.000225068,0.000225068
78,503.473,0.61885,0.72535,0.42184,0.92847,0.99978,0.99648,0.995,0.89677,0.99978,0.99648,0.995,0.82805,0.51506,0.64372,0.3529,0.88778,0.000216069,0.000216069,0.000216069
79,507.554,0.62146,0.73367,0.42588,0.92954,0.99977,0.99648,0.995,0.88685,0.99977,0.99648,0.995,0.81772,0.53103,0.64135,0.3584,0.88947,0.00020707,0.00020707,0.00020707
80,511.684,0.59798,0.69622,0.41341,0.92322,0.99978,0.99648,0.995,0.897,0.99978,0.99648,0.995,0.8368,0.51688,0.63806,0.3514,0.88108,0.000198071,0.000198071,0.000198071
81,515.855,0.61303,0.73108,0.41562,0.91948,0.99977,0.99648,0.995,0.87965,0.99977,0.99648,0.995,0.80682,0.55333,0.64488,0.3618,0.89828,0.000189072,0.000189072,0.000189072
82,519.99,0.62094,0.71414,0.42807,0.93608,0.99975,0.99648,0.995,0.897,0.99975,0.99648,0.995,0.83117,0.51516,0.64542,0.35525,0.88513,0.000180073,0.000180073,0.000180073
83,524.203,0.60079,0.70709,0.41048,0.92445,0.99977,0.99648,0.995,0.89916,0.99977,0.99648,0.995,0.83807,0.51252,0.63425,0.35148,0.89131,0.000171074,0.000171074,0.000171074
84,528.879,0.61067,0.71235,0.41088,0.92045,0.99977,0.99648,0.995,0.89748,0.99977,0.99648,0.995,0.83917,0.51019,0.63856,0.34821,0.88442,0.000162075,0.000162075,0.000162075
85,536.749,0.60597,0.74426,0.41952,0.92705,0.99977,0.99648,0.995,0.90118,0.99977,0.99648,0.995,0.83407,0.51492,0.63136,0.34854,0.89019,0.000153076,0.000153076,0.000153076
86,602.042,0.60902,0.76178,0.42041,0.93457,0.99976,0.87324,0.93069,0.84196,0.99976,0.87324,0.93069,0.78963,0.51368,0.63104,0.34783,0.88274,0.000144077,0.000144077,0.000144077
86,4.37984,0.61021,0.7048,0.41052,0.91885,0.99977,0.99648,0.995,0.89736,0.99977,0.99648,0.995,0.83293,0.5175,0.64036,0.35065,0.88733,0.000144077,0.000144077,0.000144077
87,8.45372,0.58987,0.70689,0.40775,0.91589,0.99977,0.99648,0.995,0.89652,0.99977,0.99648,0.995,0.83711,0.51039,0.63901,0.34842,0.88866,0.000135077,0.000135077,0.000135077
88,12.5259,0.57872,0.6963,0.40085,0.9199,0.99977,0.99648,0.995,0.899,0.99977,0.99648,0.995,0.83822,0.50679,0.63775,0.34749,0.88607,0.000126078,0.000126078,0.000126078
89,16.6087,0.59995,0.74378,0.42568,0.924,0.99977,0.99648,0.995,0.90151,0.99977,0.99648,0.995,0.83693,0.50622,0.62966,0.34502,0.88604,0.000117079,0.000117079,0.000117079
90,20.7395,0.57156,0.67118,0.39584,0.91448,0.99978,0.99648,0.995,0.89821,0.99978,0.99648,0.995,0.83843,0.50812,0.62877,0.34587,0.87909,0.00010808,0.00010808,0.00010808
91,24.927,0.62606,0.71361,0.47661,0.93836,0.99976,0.99648,0.995,0.88999,0.99976,0.99648,0.995,0.84311,0.52964,0.63189,0.35547,0.88592,9.9081e-05,9.9081e-05,9.9081e-05
92,28.6594,0.59919,0.71773,0.43498,0.92053,0.99975,0.99648,0.995,0.88891,0.99975,0.99648,0.995,0.82301,0.52577,0.63747,0.3618,0.87075,9.00819e-05,9.00819e-05,9.00819e-05
93,32.3785,0.59065,0.70826,0.42708,0.92468,0.99976,0.99648,0.995,0.8903,0.99976,0.99648,0.995,0.82149,0.53054,0.63099,0.3611,0.86352,8.10828e-05,8.10828e-05,8.10828e-05
94,36.1009,0.58292,0.69778,0.41857,0.91606,0.99974,0.99648,0.995,0.89374,0.99974,0.99648,0.995,0.83224,0.50743,0.63256,0.35757,0.86172,7.20837e-05,7.20837e-05,7.20837e-05
95,39.8288,0.57457,0.70311,0.41174,0.91208,0.99976,0.99648,0.995,0.89344,0.99976,0.99648,0.995,0.82201,0.51769,0.63219,0.35666,0.8612,6.30846e-05,6.30846e-05,6.30846e-05
96,43.5585,0.55543,0.70215,0.40304,0.91909,0.99976,0.99648,0.995,0.89908,0.99976,0.99648,0.995,0.82872,0.50717,0.63293,0.35041,0.85879,5.40855e-05,5.40855e-05,5.40855e-05
97,47.2841,0.55294,0.69392,0.40219,0.92902,0.99977,0.99648,0.995,0.89644,0.99977,0.99648,0.995,0.8326,0.50689,0.62761,0.34699,0.86204,4.50864e-05,4.50864e-05,4.50864e-05
98,51.0026,0.55474,0.71061,0.39806,0.9082,0.99977,0.99648,0.995,0.89596,0.99977,0.99648,0.995,0.82505,0.50357,0.63385,0.3445,0.86151,3.60873e-05,3.60873e-05,3.60873e-05
99,54.739,0.54795,0.68649,0.39884,0.9181,0.99977,0.99648,0.995,0.89993,0.99977,0.99648,0.995,0.83477,0.5033,0.62805,0.34425,0.86141,2.70882e-05,2.70882e-05,2.70882e-05
100,58.4687,0.5532,0.69524,0.3985,0.90998,0.99977,0.99648,0.995,0.89994,0.99977,0.99648,0.995,0.83763,0.50353,0.62968,0.34368,0.86113,1.80891e-05,1.80891e-05,1.80891e-05
