epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.45939,5.92195,14.0843,5.41656,4.24941,0,0,0,0,0,0,0,0,6.39629,5.17674,4.55105,4.18,0.00020907,0.00020907,0.00020907
2,8.55664,5.47917,5.57543,4.92183,3.90559,0,0,0,0,0,0,0,0,6.43537,5.16772,4.56872,4.25186,0.000423,0.000423,0.000423
3,12.688,4.1251,4.45904,3.85528,3.16251,0,0,0,0,0,0,0,0,6.42012,5.11154,4.6209,4.20485,0.000632611,0.000632611,0.000632611
4,16.8116,2.8381,2.76912,2.45846,2.43187,0,0,0,0,0,0,0,0,4.39641,4.3674,4.54732,2.95463,0.000837903,0.000837903,0.000837903
5,20.9641,2.29745,1.87192,1.72287,2.02524,0.6409,0.49296,0.57176,0.25755,0.67133,0.50352,0.6245,0.313,2.10775,1.89497,2.08945,1.99488,0.000873004,0.000873004,0.000873004
6,25.1471,2.00842,1.58038,1.47653,1.81456,0.6245,0.61972,0.69966,0.28488,0.73269,0.69718,0.77851,0.40049,2.1419,1.875,1.28371,1.90542,0.000864004,0.000864004,0.000864004
7,29.3471,1.84593,1.41909,1.31918,1.66816,0.68849,0.73152,0.75507,0.38955,0.70156,0.75325,0.77526,0.50641,1.74408,1.14896,1.12166,1.73435,0.000855005,0.000855005,0.000855005
8,33.5501,1.73069,1.29283,1.23605,1.60575,0.92102,0.77465,0.89009,0.42543,0.92464,0.7777,0.89966,0.649,1.86581,1.08253,1.05801,1.73069,0.000846006,0.000846006,0.000846006
9,37.7497,1.56608,1.20363,1.1115,1.45619,0.80658,0.86633,0.91393,0.56298,0.80898,0.87676,0.92153,0.62773,1.45492,1.02909,0.94936,1.5571,0.000837007,0.000837007,0.000837007
10,51.0413,1.47387,1.13917,1.0517,1.4339,0.9053,0.90884,0.97357,0.64758,0.9053,0.90884,0.97357,0.70419,1.29119,0.9233,0.84202,1.3706,0.000828008,0.000828008,0.000828008
11,62.7121,1.43845,1.11961,1.0205,1.39916,0.93475,0.77465,0.94033,0.63563,0.93475,0.77465,0.94033,0.67093,1.26166,0.99996,0.9122,1.38979,0.000819009,0.000819009,0.000819009
12,4.37083,1.38146,1.09915,0.96014,1.32662,0.06204,0.96127,0.06253,0.04167,0.06227,0.96479,0.06231,0.04787,1.29159,0.95101,inf,1.47016,0.00081001,0.00081001,0.00081001
13,8.43201,1.30678,1.09633,0.94233,1.31558,0.93441,0.90288,0.98236,0.69973,0.93441,0.90288,0.98236,0.73547,1.15723,0.91814,0.83875,1.34665,0.000801011,0.000801011,0.000801011
14,12.4956,1.23362,1.02039,0.89142,1.27947,0.96776,0.9331,0.98931,0.76062,0.96776,0.9331,0.98931,0.76232,1.00394,0.83299,0.72488,1.21946,0.000792012,0.000792012,0.000792012
15,16.5635,1.19506,1.06632,0.88439,1.23828,0.98265,0.96479,0.99301,0.76463,0.98265,0.96479,0.99301,0.76605,0.9486,0.84311,0.71319,1.20892,0.000783013,0.000783013,0.000783013
