epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.26871,5.9237,18.052,5.54389,4.32074,0,0,0,0,0,0,0,0,6.37419,5.16884,4.54801,4.16635,9.999e-05,9.999e-05,9.999e-05
2,9.69525,5.78355,9.56571,5.35943,4.16529,0,0,0,0,0,0,0,0,6.38465,5.17206,4.54566,4.18655,0.000207,0.000207,0.000207
3,14.1991,5.35073,5.17544,5.12035,3.82887,0,0,0,0,0,0,0,0,6.40761,5.16615,4.54389,4.22382,0.000311851,0.000311851,0.000311851
4,18.716,3.95818,4.14907,4.35116,3.07157,0,0,0,0,0,0,0,0,6.43683,5.15441,4.54965,4.27392,0.000414541,0.000414541,0.000414541
