epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.16876,0.91368,1.3867,3.96051,0.89884,0.00029,0.0102,0.00372,0.00263,0.0006,0.02497,0.0041,0.00348,0.60623,0.77857,3.95246,0.79918,0.00020907,0.00020907,0.00020907
2,5.56255,0.69868,0.85623,1.99007,0.82992,0.02481,0.99284,0.8073,0.67585,0.02481,0.99284,0.8073,0.60732,0.63243,0.79833,2.90327,0.81706,0.000384934,0.000384934,0.000384934
3,7.9564,0.63631,0.77628,1.10584,0.82367,1,0.16225,0.90609,0.77913,1,0.16225,0.90609,0.7148,0.60596,0.73404,2.37896,0.8176,0.000517603,0.000517603,0.000517603
4,10.3352,0.59757,0.74832,0.84233,0.8228,0.99025,0.87386,0.9843,0.84111,0.99025,0.87386,0.98412,0.76387,0.61679,0.6503,1.54603,0.81698,0.000607076,0.000607076,0.000607076
5,12.7077,0.57234,0.72224,0.73183,0.81307,0.98057,0.98944,0.98577,0.8672,0.98057,0.98944,0.98605,0.76885,0.55166,0.64048,0.92596,0.80847,0.000549036,0.000549036,0.000549036
6,15.0715,0.54971,0.72505,0.67072,0.81177,0.98557,0.98684,0.98451,0.87629,0.98557,0.98684,0.98504,0.75487,0.52131,0.6226,0.69691,0.80435,0.000459045,0.000459045,0.000459045
7,17.4339,0.52698,0.6903,0.60362,0.81201,0.98775,0.98934,0.98422,0.88489,0.98775,0.98934,0.98453,0.76413,0.49831,0.60014,0.56578,0.80154,0.000369054,0.000369054,0.000369054
8,19.804,0.50703,0.69603,0.57776,0.8097,0.98719,0.98944,0.98522,0.88682,0.98719,0.98944,0.98548,0.76558,0.48022,0.5904,0.46277,0.79687,0.000279063,0.000279063,0.000279063
9,22.1786,0.48777,0.66733,0.55931,0.80335,0.98867,0.98944,0.98475,0.89008,0.98867,0.98944,0.98503,0.77551,0.46925,0.58344,0.45483,0.79553,0.000189072,0.000189072,0.000189072
10,24.5496,0.47184,0.65712,0.54337,0.80552,0.99027,0.98944,0.98545,0.8895,0.99027,0.98944,0.98532,0.76246,0.47158,0.58146,0.42579,0.7977,9.9081e-05,9.9081e-05,9.9081e-05
