epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.28927,0.75015,3.9055,0.93817,0.1956,0.39059,0.2272,0.20377,0.51034,2.42512,0.83757,0.07723,0.00023,0.00023
2,16.0591,0.53101,1.70296,0.84566,0.80834,0.91349,0.93717,0.83973,0.47456,0.8919,0.80278,0.0534235,0.00042347,0.00042347
3,23.8677,0.48486,0.827,0.82796,0.98064,0.98102,0.98338,0.8878,0.47381,0.48753,0.79828,0.0295694,0.00056942,0.00056942
4,31.5889,0.46969,0.60847,0.81878,0.98026,0.98944,0.98352,0.88731,0.46251,0.39593,0.80183,0.00566785,0.00066785,0.00066785
5,39.2742,0.46725,0.51041,0.81533,0.9838,0.98944,0.98202,0.89578,0.44684,0.34938,0.79675,0.000604,0.000604,0.000604
6,46.9787,0.45712,0.45849,0.82017,0.99072,0.98944,0.9839,0.8988,0.43446,0.31271,0.79405,0.000505,0.000505,0.000505
7,54.6997,0.44185,0.41261,0.81194,0.99064,0.98944,0.98426,0.90254,0.43305,0.30031,0.7945,0.000406,0.000406,0.000406
8,62.4169,0.43844,0.39211,0.81458,0.99037,0.98944,0.98494,0.89991,0.43833,0.29538,0.79681,0.000307,0.000307,0.000307
9,70.2109,0.42918,0.37619,0.81042,0.99111,0.98944,0.9833,0.89998,0.42909,0.28821,0.79544,0.000208,0.000208,0.000208
10,77.9245,0.42867,0.36781,0.81117,0.99089,0.98944,0.98314,0.90481,0.42231,0.28249,0.79487,0.000109,0.000109,0.000109
