epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.69744,5.9237,18.052,5.54389,4.32074,0,0,0,0,0,0,0,0,6.37419,5.16884,4.54801,4.16635,9.999e-05,9.999e-05,9.999e-05
2,11.0743,5.78355,9.56571,5.35943,4.16529,0,0,0,0,0,0,0,0,6.38465,5.17206,4.54566,4.18655,0.000207,0.000207,0.000207
3,15.828,5.35073,5.17544,5.12035,3.82887,0,0,0,0,0,0,0,0,6.40761,5.16615,4.54389,4.22382,0.000311851,0.000311851,0.000311851
4,26.3328,3.95818,4.14907,4.35116,3.07157,0,0,0,0,0,0,0,0,6.43683,5.15441,4.54965,4.27392,0.000414541,0.000414541,0.000414541
5,31.2263,2.76629,2.53499,3.46209,2.36553,0,0,0,0,0,0,0,0,6.44849,5.16486,4.56253,4.29708,0.000515072,0.000515072,0.000515072
6,35.5611,2.38081,1.93589,2.8161,2.10106,0,0,0,0,0,0,0,0,6.28632,5.26699,4.57111,4.02157,0.000613443,0.000613443,0.000613443
7,39.8871,2.09922,1.61981,2.26664,1.89437,0,0,0,0,0,0,0,0,5.54253,5.10536,4.54288,3.39942,0.000709654,0.000709654,0.000709654
8,45.1656,1.87596,1.49866,1.93366,1.73849,0.00226,0.09657,0.02267,0.00588,0.00251,0.10702,0.02539,0.0066,3.17939,3.69692,4.1263,2.55134,0.000803706,0.000803706,0.000803706
