epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.23193,0.91099,1.41649,2.12793,0.9214,0.9749,0.56316,0.98597,0.82108,0.9749,0.56316,0.98537,0.78346,0.82768,0.98197,1.80222,0.85552,0.00046676,0.00046676,0.00046676
2,15.392,0.60584,0.7768,0.61949,0.83043,0.94238,0.94796,0.99362,0.90777,0.94238,0.94796,0.99362,0.87423,0.52635,0.72899,0.61327,0.81148,0.000856121,0.000856121,0.000856121
3,21.4004,0.54816,0.68955,0.54648,0.82003,0.98005,0.98747,0.99418,0.91771,0.98005,0.98747,0.99418,0.88584,0.50134,0.60186,0.58696,0.80561,0.00114976,0.00114976,0.00114976
4,27.4916,0.51875,0.64694,0.51409,0.81361,0.96037,0.95091,0.99412,0.92333,0.96037,0.95091,0.99412,0.91155,0.4792,0.56243,0.47534,0.80323,0.0011719,0.0011719,0.0011719
5,33.7652,0.50601,0.60621,0.48401,0.8119,0.98162,0.98822,0.99354,0.93048,0.98162,0.98822,0.99354,0.8911,0.47415,0.50218,0.49755,0.79823,0.00100687,0.00100687,0.00100687
6,40.4651,0.48476,0.583,0.45956,0.80425,0.98179,0.98817,0.99395,0.93506,0.98179,0.98817,0.99395,0.90013,0.42293,0.46122,0.4602,0.79196,0.000841835,0.000841835,0.000841835
